n=100
Q=3934
K=3
gamma=0.75

# size category
98 0
97 0
26 1
42 1
23 1
80 0
79 0
25 0
81 1
42 1
93 0
88 1
83 2
60 2
55 0
30 2
72 1
82 0
14 1
61 2
62 0
86 0
82 2
70 2
12 1
21 0
98 1
16 1
16 1
37 2
65 2
92 1
36 1
55 1
60 1
53 2
19 0
27 1
82 0
50 1
62 2
14 2
93 2
2 1
18 0
32 1
56 0
91 1
36 0
79 0
45 0
3 0
58 2
70 1
86 0
27 2
62 0
9 1
67 0
94 0
58 1
86 1
94 1
97 0
44 0
72 1
29 0
69 2
17 0
15 2
54 0
54 1
15 2
35 0
43 2
22 2
34 2
8 2
3 1
27 2
29 1
56 1
70 0
40 2
22 1
52 1
21 2
25 1
14 1
98 0
33 2
23 2
97 0
22 0
55 1
28 1
15 0
3 2
24 0
41 2
